"","Site","Triplicate","Layer","Al","As","Cd","Co","Cr","Cu","Fe","Mn","Ni","Pb","S","Zn","Acidity1","Acidity","Treatment"
"16","S04","C","1 No",6.90370466405212,0.0025,0.00184747026221113,0.0612582244838427,0.0213917609308657,0.106958804654329,9.72352769584805,3.69494052442226,0.904288075713869,0.001,330.599941658834,0.583411661750883,51.8003557683064,75.7205613761916,"Non-incubated"
"17","S05","A","1 No",23.9824128972087,0.0025,0.00409699553660649,0.209846112850576,0.00759443075078276,0.359736193458131,4.69655585903671,36.9728865498634,1.29904736526547,0.00989274532009859,279.794817134102,0.939311171807341,73.6789602660277,98.2768685999092,"Non-incubated"
"18","S05","B","1 No",61.4977682261531,0.0025,0.0505868738634485,0.714167631013391,0.0178541907753348,0.872871549016366,15.8703918002976,43.6435774508183,1.9837989750372,0.0208298892378906,416.597784757811,5.45544718135229,111.925455882183,167.295820686293,"Non-incubated"
"19","S05","C","1 No",26.0347129506008,0.0025,0.00390520694259012,0.190253671562083,0.0100133511348465,0.390520694259012,4.90654205607477,39.0520694259012,0.921228304405874,0.0130173564753004,300.400534045394,0.901201602136182,78.0223465430337,100.126182147164,"Non-incubated"
"20","S06","A","1 No",9.99000999000999,0.00589410589410589,0.0024975024975025,0.0689310689310689,0.013986013986014,0.1998001998002,3.6963036963037,4.3956043956044,0.679320679320679,0.001,129.87012987013,0.479520479520479,34.0493372726409,49.9624779566727,"Non-incubated"
"21","S06","B","1 No",139.697322467986,0.0025,0.0648594711458507,0.7184433726925,0.0997838017628472,1.99567603525694,40.9113587227673,23.9481124230833,3.49243306169965,0.00399135207051389,578.746050224514,6.08681190753368,98.7128062795469,138.444448552,"Non-incubated"
"22","S06","C","1 No",199.275963997476,0.00996379819987379,0.0508153708193563,1.09601780198612,0.159420771197981,9.36597030788136,76.7212461390282,25.9058753196719,3.38769138795709,0.00538045102793185,727.357268590787,2.78986349596466,88.2698264762495,119.266227588702,"Non-incubated"
"23","S07","A","1 No",3.8948069241012,0.0025,0.0012982689747004,0.0659121171770972,0.00808921438082557,0.12982689747004,1.69773635153129,2.79627163781625,1.59786950732357,0.001,209.720372836218,0.349533954727031,38.2158806487886,56.8641797969947,"Non-incubated"
"24","S07","B","1 No",98.9805008413342,0.0138572701177868,0.0326635652776403,0.930416707908542,0.0712659606057607,1.28674651093735,60.3781055132139,10.8878550925468,2.87043452439869,0.0415718103533604,653.271305552806,5.24596654459071,63.1582130093,88.53191466933,"Non-incubated"
"25","S07","C","1 No",2.64433671220802,0.00528867342441604,0.00122046309794216,0.0284774722853171,0.0122046309794216,0.132216835610401,3.86479981015018,1.22046309794216,0.233922093772248,0.001,132.216835610401,0.233922093772248,45.30734644935,73.4439039846016,"Non-incubated"
